timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
17353771,17353375,0.47591943,0.007896011,-0.013208951,0.87935424,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
17858314,17857918,0.4758654,0.0079230815,-0.013137205,0.8793843,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
18352862,18352469,0.4758031,0.00799233,-0.013043577,0.8794188,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
18852968,18852018,0.47573885,0.007948874,-0.013035121,0.87945414,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
19351957,19351564,0.47565225,0.007967958,-0.013032072,0.87950087,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
19856502,19856107,0.47561938,0.0077339164,-0.013532013,0.8795132,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
20356175,20355780,0.47544733,0.0078117843,-0.013579486,0.87960476,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
20855731,20855329,0.47539026,0.007771312,-0.013587967,0.8796358,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
21355272,21354877,0.47540534,0.007939447,-0.0133621255,0.8796296,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
21855029,21854426,0.47540373,0.007856677,-0.013304556,0.8796322,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
22354371,22353975,0.4753744,0.007850507,-0.013388082,0.8796468,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
22854060,22853528,0.47543627,0.007897055,-0.013225152,0.87961537,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
23353593,23353199,0.47546506,0.008046082,-0.013139172,0.87959975,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
23853143,23852748,0.47417638,0.008011962,-0.013280202,0.88029325,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
24357687,24357294,0.47080272,0.0083421795,-0.0134084085,0.8820971,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
24857241,24856844,0.46884498,0.008375625,-0.013554961,0.88313687,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
25352039,25351399,0.46604958,0.008302061,-0.013532597,0.88461614,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
25856491,25855947,0.46452725,0.008736612,-0.014451896,0.8853979,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
26355928,26355496,0.4640305,0.00876901,-0.014173745,0.88566244,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
26855584,26855047,0.46311334,0.008968465,-0.014464529,0.88613564,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
27355393,27354598,0.4626051,0.008970335,-0.014226457,0.8864049,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
27854542,27854149,0.4620237,0.009202551,-0.013965377,0.88670987,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
28354095,28353701,0.4614509,0.009204927,-0.013852992,0.88700986,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
28853645,28853252,0.46110785,0.009434362,-0.01354913,0.8871906,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
29353277,29352804,0.46065298,0.009585021,-0.013231826,0.88743,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
29852750,29852356,0.4602481,0.009678946,-0.013094912,0.887641,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
30352302,30351908,0.45970553,0.009501064,-0.013473856,0.8879185,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
30856865,30856456,0.45917827,0.009414712,-0.0136081455,0.88819003,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
31356406,31356009,0.45870632,0.009053172,-0.014062601,0.88843054,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
31855967,31855562,0.4584639,0.008930233,-0.014154013,0.8885555,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
32355525,32355115,0.45821732,0.008658414,-0.015016949,0.8886713,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
32855064,32854668,0.45798257,0.008290213,-0.015503774,0.8887873,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
33354616,33354221,0.45801094,0.008479515,-0.0151563445,0.8887769,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
33854377,33853774,0.4578139,0.008856118,-0.014310158,0.8888887,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
34353723,34353328,0.45750397,0.009332498,-0.013412923,0.8890575,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
34853275,34852881,0.45611033,0.0098517295,-0.013183124,0.88977104,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
35357825,35357431,0.4523877,0.009363736,-0.012869642,0.89167935,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
35852398,35851990,0.44561306,0.006213472,-0.013802613,0.8950978,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
36351937,36351544,0.4354002,0.0034937582,-0.01575359,0.90009236,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
36856484,36856093,0.4219877,0.0035156102,-0.018106036,0.906414,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
37356039,37355648,0.43042284,-0.020504717,-0.022545148,0.90211284,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
37855649,37855203,0.42073354,-0.019513428,-0.02194403,0.90670884,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
