timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
17689009,17551058,0.024835924,0.022602528,0.0008889416,1,0,0,0,0,0,0,0,0,0,0
18678327,18552056,0.02557019,0.023581507,0.00028151233,1,0,0,0,0,0,0,0,0,0,0
19677196,19550049,0.025363574,0.021478662,0.00022037711,1,0,0,0,0,0,0,0,0,0,0
20676686,20549051,0.024333414,0.02196762,0.00073957717,1,0,0,0,0,0,0,0,0,0,0
21685488,21551048,0.024476878,0.022461742,0.00091593846,1,0,0,0,0,0,0,0,0,0,0
22684823,22551048,0.021980377,0.01571535,0.00087297586,1,0,0,0,0,0,0,0,0,0,0
23683918,23551046,0.02060831,0.0125202285,0.0008005188,1,0,0,0,0,0,0,0,0,0,0
24683711,24552093,0.01998998,0.009818415,0.00056202663,1,0,0,0,0,0,0,0,0,0,0
25682091,25555328,0.019008698,0.00762543,0.0023060301,1,0,0,0,0,0,0,0,0,0,0
26681188,26553053,0.017102098,0.0056374534,0.0012555402,1,0,0,0,0,0,0,0,0,0,0
27700316,27563048,0.015601686,0.004681063,0.0012753914,1,0,0,0,0,0,0,0,0,0,0
28679497,28553047,0.013192068,0.0015432214,0.001380876,1,0,0,0,0,0,0,0,0,0,0
29678661,29552048,0.012044511,0.0008795609,0.0016103499,1,0,0,0,0,0,0,0,0,0,0
30687659,30554262,0.010401815,0.001540534,0.0011090366,1,0,0,0,0,0,0,0,0,0,0
31686766,31554048,0.0090417685,0.0018727798,0.0008608741,1,0,0,0,0,0,0,0,0,0,0
32685982,32554048,0.007925909,7.9233294e-05,0.0005097628,1,0,0,0,0,0,0,0,0,0,0
33686048,33553049,0.007059242,0.0019621295,0.0011027101,1,0,0,0,0,0,0,0,0,0,0
34684011,34554046,0.007186898,0.004542513,0.001951113,1,0,0,0,0,0,0,0,0,0,0
35683231,35553048,0.0032255698,0.0071913884,0.0060716555,1,0,0,0,0,0,0,0,0,0,0
36682228,36553346,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
37701372,37554049,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
38680222,38554048,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
39679418,39553048,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
40678452,40554047,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
41688072,41553067,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
42686789,42554048,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
43686146,43553076,0.24873564,0.016570173,0.24732995,1,0,0,0,0,0,0,0,0,0,0
44675129,44550597,0.8689078,0.03855974,0.86655384,1,0,0,0,0,0,0,1,0,1,0
45684455,45552047,1.4219537,0.050433062,1.4229861,1,0,0,0,0,0,0,1,0,1,0
46683326,46553286,1.9054129,0.058421176,1.9057096,1,0,0,0,0,0,0,1,0,1,0
47682535,47553048,2.3194873,0.06441755,2.3206413,1,0,0,0,0,0,0,1,0,1,0
48681665,48556075,2.6796155,0.06836198,2.6806417,1,0,0,0,0,0,0,1,0,1,0
49680820,49554053,3.0061717,0.06893862,3.008682,1,0,0,0,0,0,0,1,0,1,0
50680566,50554047,3.3062732,0.07220102,3.3095112,1,0,0,0,0,0,0,1,0,1,0
51679179,51553049,3.5671308,0.07103812,3.570058,1,0,0,0,0,0,0,1,0,1,0
52698899,52554049,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
53678121,53552050,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
54686414,54554047,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
55685242,55560266,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
56684364,56552049,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
57683750,57552130,0.5963354,0.0059334347,0.5990644,1,0,0,0,0,0,0,1,0,1,0
58682691,58553048,1.1456796,0.004141933,1.1482483,1,0,0,0,0,0,0,1,0,1,0
59681736,59552180,1.6399744,0.00086214737,1.6422019,1,0,0,0,0,0,0,1,0,1,0
60680846,60554049,2.0755005,0.0028749597,2.0790834,1,0,0,0,0,0,0,1,0,1,0
61679990,61553049,2.478093,0.00012929227,2.4831583,1,0,0,0,0,0,0,1,0,1,0
62689114,62554103,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
63688244,63554049,0.39078322,0.0038239355,0.39153644,1,0,0,0,0,0,0,0,0,0,0
64687377,64553048,0.9556974,0.007955569,0.956351,1,0,0,0,0,0,0,1,0,1,0
65686590,65553047,1.4682277,0.013929967,1.4697839,1,0,0,0,0,0,0,1,0,1,0
66685650,66558048,1.9357847,0.023439297,1.9384722,1,0,0,0,0,0,0,1,0,1,0
67685406,67555048,2.3478024,0.025884531,2.3490384,1,0,0,0,0,0,0,1,0,1,0
68683912,68552399,2.7149267,0.024850594,2.7146327,1,0,0,0,0,0,0,1,0,1,0
69682965,69550081,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
70682053,70550482,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
71681255,71550778,0.5842788,0.00014831578,0.5842399,1,0,0,0,0,0,0,1,0,1,0
72680305,72551048,1.1142381,0.0014810157,1.115643,1,0,0,0,0,0,0,1,0,1,0
73679566,73552048,1.5928698,0.00041633763,1.5947739,1,0,0,0,0,0,0,1,0,1,0
74678965,74553049,2.022395,0.0021182422,2.0254202,1,0,0,0,0,0,0,1,0,1,0
75677932,75552068,2.4165637,0.0004888565,2.420264,1,0,0,0,0,0,0,1,0,1,0
76687362,76553048,2.7645206,0.0010407647,2.7684793,1,0,0,0,0,0,0,1,0,1,0
77686340,77553050,3.070167,0.0074087176,3.0745642,1,0,0,0,0,0,0,1,0,1,0
78685411,78552049,3.3452218,0.016170567,3.3482826,1,0,0,0,0,0,0,1,0,1,0
79684302,79554047,3.597376,0.029254844,3.6010268,1,0,0,0,0,0,0,1,0,1,0
80683526,80554259,3.8245878,0.030317942,3.830098,1,0,0,0,0,0,0,1,0,1,0
81682578,81553969,4.037377,0.027223121,4.0424104,1,0,0,0,0,0,0,1,0,1,0
82681664,82553049,4.245733,0.018193824,4.2527084,1,0,0,0,0,0,0,1,0,1,0
83680933,83553047,4.433179,0.0023824864,4.4404407,1,0,0,0,0,0,0,1,0,1,0
84680066,84553046,4.6052794,0.013634834,4.6127744,1,0,0,0,0,0,0,1,0,1,0
85679045,85553048,4.767674,0.014705607,4.7752466,1,0,0,0,0,0,0,1,0,1,0
86678282,86552053,4.9165983,0.010837329,4.9242916,1,0,0,0,0,0,0,1,0,1,0
87687629,87552274,5.051859,0.007890896,5.061018,1,0,0,0,0,0,0,1,0,1,0
88686402,88554048,5.174164,0.00060036266,5.1814547,1,0,0,0,0,0,0,1,0,1,0
89685528,89554047,5.2780805,0.012898386,5.2840753,1,0,0,0,0,0,0,1,0,1,0
90684668,90554047,5.3666034,0.021682814,5.37052,1,0,0,0,0,0,0,1,0,1,0
91704130,91558048,5.442039,0.0273415,5.449204,1,0,0,0,0,0,0,1,0,1,0
92682948,92552049,5.5147777,0.0315169,5.517505,1,0,0,0,0,0,0,1,0,1,0
93682633,93549297,5.573029,0.04361586,5.5757403,1,0,0,0,0,0,0,1,0,1,0
94681419,94550048,5.617724,0.052816328,5.620484,1,0,0,0,0,0,0,1,0,1,0
95680293,95550134,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
96679441,96552052,0.2930155,0.0097289635,0.2944817,1,0,0,0,0,0,0,0,0,0,0
97688605,97555049,0.847479,0.026515631,0.8523594,1,0,0,0,0,0,0,1,0,1,0
98687975,98555047,1.3438225,0.038063645,1.3472126,1,0,0,0,0,0,0,1,0,1,0
