timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
16907526,16907235,0.46608815,0.006024292,-0.019382406,0.88450557,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
16912668,16912287,0.4660871,0.006023545,-0.01938059,0.884506,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
16958038,16957754,0.4660884,0.006021177,-0.019374289,0.8845055,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17008562,17008274,0.46610612,0.0060475045,-0.0193549,0.88449645,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17059123,17058793,0.46611303,0.0060508684,-0.019367956,0.8844925,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17109601,17109312,0.46611506,0.0060480516,-0.01938561,0.884491,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17155068,17154780,0.46612334,0.006061796,-0.019396478,0.8844864,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17210646,17210351,0.46611977,0.006058177,-0.01942653,0.8844876,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17256127,17255818,0.4661087,0.0060492856,-0.019461561,0.8844927,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17306623,17306338,0.46609992,0.0060256417,-0.01950896,0.88449645,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17357279,17356857,0.46609193,0.006000729,-0.01955143,0.88449985,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17407664,17407377,0.4660875,0.005964231,-0.019591205,0.88450164,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17458183,17457896,0.46608448,0.005946708,-0.01961873,0.8845027,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17508724,17508415,0.46608385,0.0059341094,-0.019631252,0.88450295,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17559246,17558935,0.4660605,0.005925832,-0.019651147,0.8845148,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17609744,17609454,0.4660517,0.0059349164,-0.01962973,0.8845198,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17655210,17654922,0.4660489,0.0059336117,-0.019605577,0.8845219,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17705727,17705441,0.4660479,0.005947812,-0.01956789,0.88452315,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17756264,17755961,0.46604759,0.005970657,-0.019538794,0.88452387,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17806756,17806480,0.4660409,0.006001162,-0.019508177,0.8845277,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17857270,17856999,0.4660372,0.006042276,-0.019456325,0.88453054,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17907801,17907519,0.46603242,0.0060771964,-0.01942071,0.8845337,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
17958326,17958038,0.46603355,0.0061034765,-0.019384984,0.88453364,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
18008861,18008557,0.4660319,0.0061208587,-0.019370852,0.88453466,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
18054302,18054025,0.4660245,0.0061355014,-0.019368188,0.88453853,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
18109871,18109596,0.46602997,0.0061554704,-0.019367725,0.88453555,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
18155347,18155064,0.46602407,0.006161692,-0.019369436,0.88453853,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
18205882,18205583,0.46601018,0.006164526,-0.019384002,0.8845455,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
18261594,18261154,0.46599954,0.006162411,-0.019400477,0.88455087,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
18306899,18306622,0.46598622,0.006157075,-0.019408721,0.8845577,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
18357417,18357141,0.4659744,0.006149771,-0.019405162,0.88456404,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
18407939,18407661,0.4659778,0.006149531,-0.019380264,0.8845628,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
18458458,18458180,0.46597725,0.006147315,-0.01934604,0.88456386,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
18508978,18508699,0.46598625,0.006154173,-0.019295825,0.8845601,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
18554442,18554167,0.46599388,0.006163708,-0.019267863,0.88455665,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
18610023,18609741,0.46599436,0.0061649363,-0.019261654,0.88455653,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
18655482,18655205,0.46598366,0.0061436407,-0.019289792,0.8845618,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
18706028,18705725,0.46596122,0.006121011,-0.019324098,0.88457304,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
18761576,18761296,0.46594146,0.006116154,-0.019361096,0.8845826,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
18807037,18806764,0.46592695,0.0061042653,-0.019402267,0.88458943,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
