timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
16776313,0,0,1,0,0,0,0,0,0,0,0,0,0
17282225,0,0,1,0,0,0,0,0,0,0,0,0,0
17785066,0,0,1,0,0,0,0,0,0,0,0,0,0
18289086,0,0,1,0,0,0,0,0,0,0,0,0,0
18792341,0,0,1,0,0,0,0,0,0,0,0,0,0
19295065,0,0,1,0,0,0,0,0,0,0,0,0,0
19799071,0,0,1,0,0,0,0,0,0,0,0,0,0
20304228,0,0,1,0,0,0,0,0,0,0,0,0,0
20808065,0,0,1,0,0,0,0,0,0,0,0,0,0
21312068,0,0,1,0,0,0,0,0,0,0,0,0,0
21815285,0,0,1,0,0,0,0,0,0,0,0,0,0
22319773,0,0,1,0,0,0,0,0,0,0,0,0,0
22822066,0,0,1,0,0,0,0,0,0,0,0,0,0
23326220,0,0,1,0,0,0,0,0,0,0,0,0,0
23829064,0,0,1,0,0,0,0,0,0,0,0,0,0
24333085,0,0,1,0,0,0,0,0,0,0,0,0,0
24837065,0,0,1,0,0,0,0,0,0,0,0,0,0
25340064,0,0,1,0,0,0,0,0,0,0,0,0,0
25843064,0,0,1,0,0,0,0,0,0,0,0,0,0
26348085,0,0,1,0,0,0,0,0,0,0,0,0,0
26851065,0,0,1,0,0,0,0,0,0,0,0,0,0
27353065,0,0,1,0,0,0,0,0,0,0,0,0,0
27856064,0,0,1,0,0,0,0,0,0,0,0,0,0
28358085,0,0,1,0,0,0,0,0,0,0,0,0,0
28861076,0,0,1,0,0,0,0,0,0,0,0,0,0
29364071,0,0,1,0,0,0,0,0,0,0,0,0,0
29868095,0,0,1,0,0,0,0,0,0,0,0,0,0
30371369,0,0,1,0,0,0,0,0,0,0,0,0,0
30874065,0,0,1,0,0,0,0,0,0,0,0,0,0
31378064,0,0,1,0,0,0,0,0,0,0,0,0,0
31882314,0,0,1,0,0,0,0,0,0,0,0,0,0
32384297,0,0,1,0,0,0,0,0,0,0,0,0,0
32887226,0,0,1,0,0,0,0,0,0,0,0,0,0
33390066,0,0,1,0,0,0,0,0,0,0,0,0,0
33893085,0,0,1,0,0,0,0,0,0,0,0,0,0
34396067,0,0,1,0,0,0,0,0,0,0,0,0,0
