timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
540110773,539978641,0.055518765,0.17744818,0.012298812,1,0,0,0,0,0,0,0,0,0,0
541106227,540973637,0.06377144,0.1757198,0.0075934967,1,0,0,0,0,0,0,0,0,0,0
542101650,541974642,0.057113916,0.16356894,0.0023040602,1,0,0,0,0,0,0,0,0,0,0
543117036,542985636,0.056379482,0.14615963,0.00642453,1,0,0,0,0,0,0,0,0,0,0
544112580,543982650,0.042439666,0.10481718,0.0016684446,1,0,0,0,0,0,0,0,0,0,0
545108610,544981636,0.03650853,0.078860044,0.009586334,1,0,0,0,0,0,0,0,0,0,0
546113446,545979636,0.036580186,0.05251218,0.009661737,1,0,0,0,0,0,0,0,0,0,0
547108820,546981636,0.036127638,0.016857991,0.017694019,1,0,0,0,0,0,0,0,0,0,0
548114237,547980636,0.037212674,0.008818885,0.022271369,1,0,0,0,0,0,0,0,0,0,0
549109773,548981637,0.040885188,0.024165649,0.028721046,1,0,0,0,0,0,0,0,0,0,0
550105209,549972637,0.04629074,0.041897256,0.030795658,1,0,0,0,0,0,0,0,0,0,0
551110568,550980743,0.043314673,0.046837993,0.029053401,1,0,0,0,0,0,0,0,0,0,0
552106109,551978636,0.051331062,0.07690427,0.031068413,1,0,0,0,0,0,0,0,0,0,0
553111457,552980635,0.04444174,0.100816056,0.031030115,1,0,0,0,0,0,0,0,0,0,0
554097647,553970636,0.038886447,0.106417745,0.026852826,1,0,0,0,0,0,0,0,0,0,0
555112354,554979672,0.011394889,0.106033705,0.030182539,1,0,0,0,0,0,0,0,0,0,0
556127724,555993635,0.018985339,0.107628696,0.02864679,1,0,0,0,0,0,0,0,0,0,0
557113258,556982635,0.033085965,0.09625175,0.030936666,1,0,0,0,0,0,0,0,0,0,0
558108721,557982637,0.037426494,0.089308746,0.029569108,1,0,0,0,0,0,0,0,0,0,0
559114155,558981635,0.02470856,0.07899419,0.023689946,1,0,0,0,0,0,0,0,0,0,0
560109621,559980636,0.017025953,0.07990724,0.025914798,1,0,0,0,0,0,0,0,0,0,0
561105051,560976638,0.013556496,0.058982626,0.025825711,1,0,0,0,0,0,0,0,0,0,0
562110495,561977637,0.015510227,0.056255084,0.024535008,1,0,0,0,0,0,0,0,0,0,0
563106578,562979637,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
564111362,563985638,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
565116748,564982635,0.016756635,0.008983803,0.0075424747,1,0,0,0,0,0,0,0,0,0,0
566122164,565992636,0.02624484,0.012158196,0.009609816,1,0,0,0,0,0,0,0,0,0,0
567107735,566980636,0.031386983,0.0037215035,0.00813585,1,0,0,0,0,0,0,0,0,0,0
568103200,567974637,0.05394584,0.010010385,0.026321875,1,0,0,0,0,0,0,0,0,0,0
569108563,568975637,0.057217207,0.027998932,0.009084866,1,0,0,0,0,0,0,0,0,0,0
570114034,569983637,0.05583728,0.023591341,0.011185301,1,0,0,0,0,0,0,0,0,0,0
571109479,570982636,0.045397427,0.038981088,0.022325376,1,0,0,0,0,0,0,0,0,0,0
572115433,571981637,0.035066333,0.041410133,0.029908031,1,0,0,0,0,0,0,0,0,0,0
573110340,572982646,0.04540572,0.042376418,0.026565565,1,0,0,0,0,0,0,0,0,0,0
574115776,573991250,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
575111321,574979638,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
576106755,575975642,0.00932111,0.004310934,0.004638156,1,0,0,0,0,0,0,0,0,0,0
577112118,576983636,0.015145943,0.012158197,0.00593314,1,0,0,0,0,0,0,0,0,0,0
578107630,577981638,0.020321863,0.006605881,0.0046621086,1,0,0,0,0,0,0,0,0,0,0
579112985,578979637,0.021019489,0.0027985417,0.004734393,1,0,0,0,0,0,0,0,0,0,0
580108449,579974642,0.029567402,0.01700446,0.011437184,1,0,0,0,0,0,0,0,0,0,0
581114550,580979799,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
582109360,581981643,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
583114859,582982637,0.027328024,0.017177897,0.019902265,1,0,0,0,0,0,0,0,0,0,0
584110220,583981637,0.040144615,0.029056441,0.028010402,1,0,0,0,0,0,0,0,0,0,0
585115718,584982635,0.051222708,0.03587562,0.040716145,1,0,0,0,0,0,0,0,0,0,0
586101237,585976638,0.05016723,0.031798493,0.05124914,1,0,0,0,0,0,0,0,0,0,0
587106598,586972637,0.03327152,0.014443996,0.041436635,1,0,0,0,0,0,0,0,0,0,0
588102024,587968674,0.02631603,0.012504594,0.03956798,1,0,0,0,0,0,0,0,0,0,0
589097534,588969638,0.03621289,0.003341488,0.030771574,1,0,0,0,0,0,0,0,0,0,0
590103500,589972634,0.04466419,0.02499434,0.025043456,1,0,0,0,0,0,0,0,0,0,0
591108433,590980645,0.052717745,0.045500293,0.011338877,1,0,0,0,0,0,0,0,0,0,0
592113750,591979636,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
593099251,592972638,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
594104700,593972637,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
595100166,594971636,0.008784904,0.0031562098,0.0039343312,1,0,0,0,0,0,0,0,0,0,0
596105610,595978636,0.013721695,0.005870647,0.018772064,1,0,0,0,0,0,0,0,0,0,0
597120937,596987637,0.012117787,0.0069975043,0.022374235,1,0,0,0,0,0,0,0,0,0,0
598106419,597981875,0.0057844603,0.010676487,0.022408774,1,0,0,0,0,0,0,0,0,0,0
599112402,598980635,0.011201101,0.02851494,0.023190815,1,0,0,0,0,0,0,0,0,0,0
600107303,599977637,0.035692986,0.042463128,0.018294293,1,0,0,0,0,0,0,0,0,0,0
601112693,600978636,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
602098190,601969636,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
603103666,602970636,0.005530378,0.0087000085,0.0030550607,1,0,0,0,0,0,0,0,0,0,0
604099077,603970637,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
605104473,604972636,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
606099963,605968636,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
607105334,606978637,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
608101419,607971636,0.019420896,0.031331416,0.0024433786,1,0,0,0,0,0,0,0,0,0,0
609106193,608977636,0.031213267,0.0441771,0.008474993,1,0,0,0,0,0,0,0,0,0,0
610101653,609973636,0.046293586,0.062785745,0.0015247404,1,0,0,0,0,0,0,0,0,0,0
611097151,610970637,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
612102626,611969638,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
613107944,612983353,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
614093441,613968905,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
615098830,614969721,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
616094305,615967638,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
617100277,616971643,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
618105097,617974645,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
619100552,618968636,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
620105934,619974637,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
