timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
540093618,1683118854399770,11010053,423585836,-710872897,7770,-25383,0.35300002,0.7619299,1.9700001,2.082,0.71,1.15,82,12,0.048,0.048,0.002,0.096,4.0069685,0,nan,0.0,0.0,156,3,0,1,15
541088614,1683118855399771,11010053,423585844,-710872911,7931,-25222,0.43400002,0.7619966,1.9280001,2.062,0.71,1.15,77,12,0.07,0.006,-0.07,-0.014,4.0069685,0,nan,0.0,0.0,156,3,0,1,15
542089619,1683118856399771,11010053,423585840,-710872915,7980,-25173,0.527,0.76208293,1.9060001,2.025,0.71,1.15,77,12,0.14500001,-0.029000001,-0.142,-0.069000006,4.0069685,0,nan,0.0,0.0,156,3,0,1,15
543100613,1683118857399772,11010053,423585838,-710872925,7966,-25187,0.467,0.7621666,1.8950001,2.02,0.71,1.15,77,12,0.186,-0.163,-0.09,0.006,4.0069685,0,nan,0.0,0.0,156,3,0,1,15
544097627,1683118858399773,11010053,423585830,-710872919,7684,-25470,0.47300002,0.76224774,1.8790001,2.0070002,0.71,1.15,77,15,0.117000006,0.028,0.11400001,-0.010000001,4.0069685,0,nan,0.0,0.0,156,3,0,1,15
545096613,1683118859399774,11010053,423585827,-710872918,7516,-25637,0.503,0.7623398,1.8870001,2.0340002,0.71,1.15,77,14,0.16000001,0.14600001,0.067,0.037,4.0069685,0,nan,0.0,0.0,156,3,0,1,15
546094613,1683118860399774,11010053,423585830,-710872921,7320,-25833,0.46300003,0.7624324,1.9070001,2.0770001,0.71,1.15,77,14,0.037,0.035,0.012,-0.006,4.0069685,0,nan,0.0,0.0,156,3,0,1,15
547096613,1683118861399775,11010053,423585844,-710872909,6999,-26154,0.559,0.76253015,1.9210001,2.1100001,0.71,1.15,77,13,0.149,0.030000001,0.14600001,0.15,4.0069685,0,nan,0.0,0.0,156,3,0,1,15
548095613,1683118862399776,11010053,423585851,-710872903,6746,-26407,0.49600002,0.76262105,1.9380001,2.1430001,0.71,1.15,77,14,0.16700001,0.148,0.07700001,0.165,4.0069685,0,nan,0.0,0.0,156,3,0,1,15
549096614,1683118863399777,11010053,423585859,-710872900,6575,-26578,0.536,0.76272124,1.963,2.197,0.71,1.15,77,10,0.1,-0.1,-0.0050000004,0.18,4.0069685,0,nan,0.0,0.0,156,3,0,1,15
550087614,1683118864399777,11010053,423585868,-710872900,6368,-26785,0.448,0.76280296,1.9480001,2.209,0.71,1.15,76,12,0.13900001,0.13700001,0.026,0.10700001,4.0069685,0,nan,0.0,0.0,156,3,0,1,15
551095720,1683118865399778,11010053,423585868,-710872907,6275,-26878,0.492,0.7628825,1.9190001,2.2010002,0.71,1.15,76,14,0.071,-0.014,0.07,0.035,4.0069685,0,nan,0.0,0.0,156,3,0,1,15
552093613,1683118866399779,11010053,423585877,-710872918,5915,-27238,0.48000002,0.7629642,1.9070001,2.2,0.71,1.15,76,11,0.116000004,0.116000004,0.006,0.017,4.0069685,0,nan,0.0,0.0,156,3,0,1,15
553095612,1683118867399780,11010053,423585872,-710872925,5586,-27567,0.42700002,0.76303786,1.8790001,2.1850002,0.74,1.15,76,15,0.108,0.068,0.08400001,0.075,4.0069685,0,nan,0.0,0.0,156,3,0,1,14
554085613,1683118868399780,11010053,423585869,-710872928,5426,-27728,0.397,0.7631122,1.848,2.1460001,0.74,1.15,76,10,0.147,-0.147,0.002,0.035,4.0069685,0,nan,0.0,0.0,156,3,0,1,14
